game_id,network,critical_ms,playable_ms,total_ms
game_044,medium,4080.0,16960.0,53840.0
game_045,medium,6880.0,24160.0,37440.0
game_046,medium,9680.0,16960.0,35440.0
game_047,medium,5280.0,16960.0,40640.0
game_048,medium,8080.0,24160.0,53040.0
game_049,medium,3680.0,24160.0,58240.0
game_050,medium,6480.0,16960.0,27440.0
game_051,medium,9280.0,24160.0,39840.0
game_052,medium,4880.0,24160.0,45040.0
game_053,medium,7680.0,16960.0,43040.0
game_054,medium,3280.0,16960.0,48240.0
game_055,medium,6080.0,24160.0,60640.0
game_056,medium,8880.0,16960.0,29840.0
game_057,medium,4480.0,16960.0,35040.0
game_058,medium,7280.0,24160.0,47440.0
game_059,medium,10080.0,16960.0,45440.0
game_060,medium,5680.0,16960.0,50640.0
game_061,medium,8480.0,24160.0,34240.0
game_062,medium,4080.0,24160.0,39440.0
game_063,medium,6880.0,16960.0,37440.0
game_064,medium,9680.0,24160.0,49840.0
game_065,medium,5280.0,24160.0,55040.0
game_066,medium,8080.0,16960.0,53040.0
game_067,medium,3680.0,16960.0,29440.0
game_068,medium,6480.0,24160.0,41840.0
game_069,medium,9280.0,16960.0,39840.0
game_070,medium,4880.0,16960.0,45040.0
game_071,medium,7680.0,24160.0,57440.0
game_072,medium,3280.0,9760.0,19440.0
game_073,medium,6080.0,16960.0,31840.0
game_074,medium,8880.0,24160.0,44240.0
game_075,medium,4480.0,24160.0,49440.0
game_076,medium,7280.0,16960.0,47440.0
game_077,medium,10080.0,24160.0,59840.0
game_078,medium,5680.0,24160.0,36240.0
game_079,medium,8480.0,16960.0,34240.0
game_080,medium,4080.0,16960.0,39440.0
game_081,medium,6880.0,24160.0,51840.0
game_082,medium,9680.0,16960.0,49840.0
game_083,medium,5280.0,16960.0,55040.0
game_084,medium,8080.0,24160.0,38640.0
game_085,medium,3680.0,24160.0,43840.0
game_086,medium,6480.0,16960.0,41840.0
game_087,medium,9280.0,24160.0,54240.0
game_088,medium,4880.0,24160.0,59440.0
game_089,medium,7680.0,16960.0,28640.0
game_090,medium,3280.0,16960.0,33840.0
game_091,medium,6080.0,24160.0,46240.0
game_092,medium,8880.0,16960.0,44240.0
game_093,medium,4480.0,16960.0,49440.0
game_094,medium,7280.0,24160.0,61840.0
game_095,medium,10080.0,16960.0,31040.0
game_096,medium,5680.0,16960.0,36240.0
game_097,medium,8480.0,24160.0,48640.0
game_098,medium,4080.0,24160.0,53840.0
game_099,medium,6880.0,16960.0,51840.0
game_100,medium,9680.0,24160.0,35440.0
game_001,slow,24200.0,67600.0,127000.0
game_002,slow,35400.0,96400.0,176600.0
game_003,slow,17800.0,96400.0,197400.0
game_004,slow,29000.0,67600.0,189400.0
game_005,slow,40200.0,96400.0,239000.0
game_006,slow,22600.0,96400.0,144600.0
game_007,slow,33800.0,67600.0,136600.0
game_008,slow,16200.0,67600.0,157400.0
game_009,slow,27400.0,96400.0,207000.0
game_010,slow,38600.0,67600.0,199000.0
game_011,slow,21000.0,67600.0,219800.0
game_012,slow,32200.0,96400.0,154200.0
game_013,slow,14600.0,96400.0,175000.0
game_014,slow,25800.0,67600.0,167000.0
game_015,slow,37000.0,96400.0,216600.0
game_016,slow,19400.0,96400.0,237400.0
game_017,slow,30600.0,67600.0,114200.0
game_018,slow,13000.0,67600.0,135000.0
game_019,slow,24200.0,96400.0,184600.0
game_020,slow,35400.0,67600.0,176600.0
game_021,slow,17800.0,67600.0,197400.0
game_022,slow,29000.0,96400.0,247000.0
game_023,slow,40200.0,67600.0,123800.0
game_024,slow,22600.0,67600.0,144600.0
game_025,slow,33800.0,96400.0,194200.0
game_026,slow,16200.0,96400.0,215000.0
game_027,slow,27400.0,67600.0,207000.0
game_028,slow,38600.0,96400.0,141400.0
game_029,slow,21000.0,96400.0,162200.0
game_030,slow,32200.0,67600.0,154200.0
game_031,slow,14600.0,67600.0,175000.0
game_032,slow,25800.0,96400.0,224600.0
game_033,slow,37000.0,67600.0,216600.0
game_034,slow,19400.0,67600.0,122200.0
game_035,slow,30600.0,96400.0,171800.0
game_036,slow,13000.0,38800.0,135000.0
game_037,slow,24200.0,67600.0,184600.0
game_038,slow,35400.0,96400.0,234200.0
game_039,slow,17800.0,96400.0,139800.0
game_040,slow,29000.0,67600.0,131800.0
game_041,slow,40200.0,96400.0,181400.0
game_042,slow,22600.0,96400.0,202200.0
game_043,slow,33800.0,67600.0,194200.0
game_044,slow,16200.0,67600.0,215000.0
game_045,slow,27400.0,96400.0,149400.0
game_046,slow,38600.0,67600.0,141400.0
game_047,slow,21000.0,67600.0,162200.0
game_048,slow,32200.0,96400.0,211800.0
game_049,slow,14600.0,96400.0,232600.0
game_050,slow,25800.0,67600.0,109400.0
game_051,slow,37000.0,96400.0,159000.0
game_052,slow,19400.0,96400.0,179800.0
game_053,slow,30600.0,67600.0,171800.0
game_054,slow,13000.0,67600.0,192600.0
game_055,slow,24200.0,96400.0,242200.0
game_056,slow,35400.0,67600.0,119000.0
game_057,slow,17800.0,67600.0,139800.0
game_058,slow,29000.0,96400.0,189400.0
game_059,slow,40200.0,67600.0,181400.0
game_060,slow,22600.0,67600.0,202200.0
game_061,slow,33800.0,96400.0,136600.0
game_062,slow,16200.0,96400.0,157400.0
game_063,slow,27400.0,67600.0,149400.0
game_064,slow,38600.0,96400.0,199000.0
game_065,slow,21000.0,96400.0,219800.0
game_066,slow,32200.0,67600.0,211800.0
game_067,slow,14600.0,67600.0,117400.0
game_068,slow,25800.0,96400.0,167000.0
game_069,slow,37000.0,67600.0,159000.0
game_070,slow,19400.0,67600.0,179800.0
game_071,slow,30600.0,96400.0,229400.0
game_072,slow,13000.0,38800.0,77400.0
game_073,slow,24200.0,67600.0,127000.0
game_074,slow,35400.0,96400.0,176600.0
game_075,slow,17800.0,96400.0,197400.0
game_076,slow,29000.0,67600.0,189400.0
game_077,slow,40200.0,96400.0,239000.0
game_078,slow,22600.0,96400.0,144600.0
game_079,slow,33800.0,67600.0,136600.0
game_080,slow,16200.0,67600.0,157400.0
game_081,slow,27400.0,96400.0,207000.0
game_082,slow,38600.0,67600.0,199000.0
game_083,slow,21000.0,67600.0,219800.0
game_084,slow,32200.0,96400.0,154200.0
game_085,slow,14600.0,96400.0,175000.0
game_086,slow,25800.0,67600.0,167000.0
game_087,slow,37000.0,96400.0,216600.0
game_088,slow,19400.0,96400.0,237400.0
game_089,slow,30600.0,67600.0,114200.0
game_090,slow,13000.0,67600.0,135000.0
game_091,slow,24200.0,96400.0,184600.0
game_092,slow,35400.0,67600.0,176600.0
game_093,slow,17800.0,67600.0,197400.0
game_094,slow,29000.0,96400.0,247000.0
game_095,slow,40200.0,67600.0,123800.0
game_096,slow,22600.0,67600.0,144600.0
game_097,slow,33800.0,96400.0,194200.0
game_098,slow,16200.0,96400.0,215000.0
game_099,slow,27400.0,67600.0,207000.0
game_100,slow,38600.0,96400.0,141400.0
